Id	Level	Builder	Owner	Public	CreateDate
meta:2.0.0	L3		Intino	true	2024-09-12T12:00:00Z
wool:1.0.0-SNAPSHOT	L2(meta:2.0.0)		Monentia SL	true	2024-09-12T12:00:00Z
despachia:1.0.0-SNAPSHOT	L1(wool:1.0.0-SNAPSHOT)		Monentia SL	true	2024-09-12T12:00:00Z
solicita:1.0.0-SNAPSHOT	L1(wool:1.0.0-SNAPSHOT)		Monentia SL	true	2024-09-12T12:00:00Z
amidas:12.2.4	L2(meta:2.0.0)		Intino	true	2024-09-12T12:00:00Z
monentia-federation:1.0.0-SNAPSHOT	L1(amidas:12.2.4)		Intino	true	2024-09-12T12:00:00Z
flogo:1.0.0-SNAPSHOT	L2(meta:2.0.0)		Intino	true	2024-09-12T12:00:00Z
woven-context-extractor:1.0.0-SNAPSHOT	L1(flogo:1.0.0-SNAPSHOT)		Monentia SL	true	2024-09-12T12:00:00Z
despachia-x-y-translator:1.0.0-SNAPSHOT	L1(flogo:1.0.0-SNAPSHOT)		Monentia SL	true	2024-09-12T12:00:00Z
despachia-message-classifier:1.0.0-SNAPSHOT	L1(flogo:1.0.0-SNAPSHOT)		Monentia SL	true	2024-09-12T12:00:00Z
despachia-hydrator:1.0.0-SNAPSHOT	L1(flogo:1.0.0-SNAPSHOT)		Monentia SL	true	2024-09-12T12:00:00Z
despachia-speaker:1.0.0-SNAPSHOT	L1(flogo:1.0.0-SNAPSHOT)		Monentia SL	false	2024-09-12T12:00:00Z
